title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
6 Weehawken ,10014,1720,,,1,2495000
270 West 11th Street #2G,10014,600,1.0,1.0,1,625000
166 Bank Street #6B,10014,2400,2.0,2.0,1,2500000
2 Cornelia Street #401/501 ,10014,819,1.0,1.0,1,875000
9 Barrow Street ,10014,680,1.0,1.0,1,710000
111 Barrow Street #6B,10014,1100,1.0,1.0,1,1150000
112 Washington Place ,10014,3528,4.0,3.0,1,3695000
10 Bethune Street #2A,10014,400,0.0,1.0,1,419000
708 Greenwich Street #3A,10014,1050,1.0,1.0,1,1100000
377 West 11th Street #2E,10014,2377,3.0,2.0,1,2495000
22 Grove Street #1E,10014,475,0.0,1.0,1,499000
350 West 14th Street #4G,10014,470,0.0,1.0,1,495000
15 Jones Street #6D,10014,850,1.0,2.0,1,899000
15 Jones Street #6D,10014,850,1.0,2.0,1,899000
59 Morton Street #59,10014,4001,6.0,5.0,1,6500000
2 Cornelia Street #506,10014,773,1.0,1.0,1,819000
15 Jones Street #1D,10014,750,1.0,1.0,1,795000
15 Jones Street #1D,10014,750,1.0,1.0,1,795000
211 West 10th Street #5C,10014,750,2.0,1.0,1,795000
136 Waverly Place #8D,10014,750,1.0,1.0,1,795000
99 Bank Street #5I,10014,800,1.0,1.0,1,849000
84 Charles Street ,10014,600,2.0,1.0,1,637000
59 Barrow Street #3FL,10014,2350,3.0,2.0,1,2495000
88 Horatio Street #4A,10014,400,0.0,1.0,1,425000
350 West 14th Street #7F,10014,517,0.0,1.0,1,550000
111 Barrow Street #3D,10014,1550,1.0,1.0,1,1650000
720 Greenwich Street #2E,10014,700,1.0,1.0,1,746000
9 Barrow Street #6G,10014,525,0.0,1.0,1,560000
75 Bank Street #2K,10014,820,1.0,1.0,1,875000
2 Cornelia Street #404,10014,1400,2.0,2.0,1,1495000
304 West 10th Street #4C,10014,280,0.0,1.0,1,299000
53 Horatio Street #2,10014,1400,2.0,2.0,1,1495000
295 West 11th Street #4J,10014,500,1.0,1.0,1,535000
3-5 Weehawken Street #5B,10014,453,1.0,1.0,1,485000
218 West 14th Street #7E,10011,417,1.0,1.0,1,448275
130 Barrow Street #203,10014,871,1.0,1.0,1,925000
22 Cornelia Street #19,10014,325,0.0,1.0,1,350000
84 Horatio Street #5B,10014,325,0.0,1.0,1,350000
377 West 11th Street #1A,10014,3200,2.0,2.0,1,3450000
380 West 12th Street #6G,10014,1850,2.0,2.0,1,1995000
281 West 11th Street #1AB,10014,1200,2.0,3.0,1,1295000
708 Greenwich Street #3C,10014,1200,0.0,2.0,1,1295000
22 Grove Street #1B,10014,800,1.0,1.0,1,865000
130 Barrow Street #304,10014,579,1.0,1.0,1,920000
96 Perry Street #B21A,10014,308,0.0,1.0,1,334500
130 Barrow Street #404,10014,763,1.0,1.0,1,1195000
321 West 13th Street #1A,10014,2100,2.0,2.0,1,2500000
509 Hudson Street #1N,10014,1375,2.0,2.0,1,1495000
82 Charles Street #5R,10014,550,2.0,1.0,1,599000
